$nWebServers, $nDb, $nSearch, $uSess, $uBiz, $uSearch, $uDb
10, 1, 1, 0.551698, 0.166159, 1.79321e-005, 0.206219
20, 1, 1, 0.551698, 0.166159, 1.79321e-005, 0.206219
10, 1, 1, 1.19561, 0.318047, 3.21755e-005, 0.370018
20, 1, 1, 1.19561, 0.318047, 3.21755e-005, 0.370018
10, 1, 1, 1.92696, 0.446452, 4.29218e-005, 0.4936
20, 1, 1, 1.92696, 0.446452, 4.29218e-005, 0.4936
10, 1, 1, 2.73271, 0.548067, 5.06918e-005, 0.582956
20, 1, 1, 2.73271, 0.548067, 5.06918e-005, 0.582956
10, 1, 1, 3.59465, 0.624893, 5.6214e-005, 0.646461
20, 1, 1, 3.59465, 0.624893, 5.6214e-005, 0.646461
10, 1, 1, 4.4948, 0.681953, 6.02081e-005, 0.692393
20, 1, 1, 4.4948, 0.681953, 6.02081e-005, 0.692393
10, 1, 1, 5.41968, 0.724663, 6.32128e-005, 0.726947
20, 1, 1, 5.41968, 0.724663, 6.32128e-005, 0.726947
10, 1, 1, 6.36086, 0.757377, 6.55655e-005, 0.754003
20, 1, 1, 6.36086, 0.757377, 6.55655e-005, 0.754003
10, 1, 1, 7.31342, 0.78309, 6.74634e-005, 0.775829
20, 1, 1, 7.31342, 0.78309, 6.74634e-005, 0.775829
10, 1, 1, 8.27426, 0.803816, 6.90296e-005, 0.79384
20, 1, 1, 8.27426, 0.803816, 6.90296e-005, 0.79384
10, 1, 1, 8.14476, 0.800913, 6.87988e-005, 0.791186
20, 1, 1, 9.2414, 0.820882, 7.03441e-005, 0.808957
10, 1, 1, 8.48361, 0.808318, 6.9388e-005, 0.797962
20, 1, 1, 10.2134, 0.835186, 7.14626e-005, 0.82182
10, 1, 1, 8.76171, 0.813956, 6.98378e-005, 0.803134
20, 1, 1, 11.1894, 0.847354, 7.24253e-005, 0.832891
10, 1, 1, 8.97522, 0.818039, 7.01642e-005, 0.806888
20, 1, 1, 12.1684, 0.857837, 7.32622e-005, 0.842516
10, 1, 1, 9.1416, 0.821084, 7.04079e-005, 0.809691
20, 1, 1, 13.1501, 0.866963, 7.39962e-005, 0.850957
10, 1, 1, 9.27264, 0.823401, 7.05936e-005, 0.811826
